annee,precip_moy_mm,nb_sinistres,taux_sinistralite,primes_col_eur,indemnisations_eur,profit_assureur_eur,profit_par_assure_eur
1,578.4,78,0.156,478093.75,390000,88093.75,176.19
2,578.2,71,0.142,478093.75,355000,123093.75,246.19
3,560.6,67,0.134,478093.75,335000,143093.75,286.19
4,571.7,68,0.136,478093.75,340000,138093.75,276.19
5,565.3,76,0.152,478093.75,380000,98093.75,196.19
6,569.6,89,0.178,478093.75,445000,33093.75,66.19
7,577.6,69,0.138,478093.75,345000,133093.75,266.19
8,565.4,82,0.164,478093.75,410000,68093.75,136.19
9,583.5,71,0.142,478093.75,355000,123093.75,246.19
10,572.0,78,0.156,478093.75,390000,88093.75,176.19
11,553.8,86,0.172,478093.75,430000,48093.75,96.19
12,576.0,72,0.144,478093.75,360000,118093.75,236.19
13,582.9,74,0.148,478093.75,370000,108093.75,216.19
14,562.2,77,0.154,478093.75,385000,93093.75,186.19
15,572.0,75,0.15,478093.75,375000,103093.75,206.19
16,576.0,77,0.154,478093.75,385000,93093.75,186.19
17,578.3,60,0.12,478093.75,300000,178093.75,356.19
18,556.5,81,0.162,478093.75,405000,73093.75,146.19
19,565.7,81,0.162,478093.75,405000,73093.75,146.19
20,562.1,80,0.16,478093.75,400000,78093.75,156.19
